Name,Null,Height,Longitude,Latitude,Climbed
Garbh Chioch Mhor,0,1013,-5.444321,57.008547,0
Geal Charn,0,1049,-4.457236,56.897763,0
Geal Charn,0,926,-4.373589,57.057427,0
Geal-charn,0,1132,-4.509743,56.837835,0
Geal-charn,0,917.1,-4.304515,56.874432,0
Glas Bheinn Mhor,0,997,-5.005251,56.542416,0
Glas Maol,0,1068,-3.368236,56.873059,0
Glas Tulaichean,0,1051,-3.55818,56.865757,0
Gleouraich,0,1035,-5.238035,57.097163,0
Gulvain (Gaor Bheinn),0,987,-5.284525,56.936184,0
Ladhar Bheinn,0,1020,-5.591745,57.075263,0
Liathach-Mullach an Rathain,0,1023,-5.492566,57.560891,0
Liathach-Spidean a'Choire Leith,0,1055,-5.463575,57.564189,0
Lochnagar-Cac Carn Beag,0,1156,-3.245244,56.960263,0
Luinne Bheinn,0,939,-5.513592,57.048335,0
Lurg Mhor,0,987,-5.223666,57.413091,0
Mam Sodhail,0,1179.4,-5.120267,57.279801,0
Maoile Lunndaidh,0,1004.9,-5.111002,57.464477,0
Maol Chean-dearg,0,933,-5.465549,57.491697,0
Maol Chinn-dearg,0,980.3,-5.252651,57.12756,0
Mayar,0,928,-3.246316,56.848936,0
Meall a'Bhuiridh,0,1108,-4.852078,56.612218,0
Meall a'Choire Leith,0,925.5,-4.259625,56.566312,0
Meall a'Chrasgaidh,0,934,-5.048744,57.712884,0
Meall Buidhe,0,946,-5.546318,57.031553,0
Meall Buidhe,0,932,-4.448625,56.61724,0
Meall Chuaich,0,951,-4.1126,56.963832,0
Meall Corranaich,0,1069,-4.253469,56.540946,0
Meall Garbh,0,1123,-4.207707,56.566122,0
Meall Garbh,0,968,-4.207456,56.637372,0
Meall Ghaordaidh,0,1039,-4.416638,56.52581,0
Meall Glas,0,959,-4.54682,56.455703,0
Meall Gorm,0,949,-4.983801,57.680837,0
Meall Greigh,0,1001,-4.159543,56.567426,0
Meall na Aighean,0,981,-4.12895,56.62084,0
Meall na Teanga,0,918,-4.930946,56.989111,0
Meall nan Ceapraichean,0,977,-4.934044,57.798505,0
Meall nan Eun,0,928,-4.942959,56.561184,0
Meall nan Tarmachan,0,1044,-4.30136,56.521672,0
Monadh Mor,0,1113,-3.750102,57.02679,0
Moruisg,0,928,-5.170646,57.499703,0
Mount Keen,0,939,-2.973622,56.969751,0
Mullach Clach a'Bhlair,0,1019,-3.841271,57.011879,0
Mullach Coire Mhic Fhearchair,0,1018,-5.271373,57.708986,0
Mullach Fraoch-choire,0,1102,-5.155691,57.20545,0
Mullach na Dheiragain,0,982,-5.18635,57.283399,0
Mullach nan Coirean,0,939,-5.072381,56.749867,0
Na Gruagaichean,0,1054.2,-4.939875,56.743687,0
Ruadh Stac Mor,0,918.7,-5.329288,57.726781,0
Sail Chaorainn (Sail Chaoruinn),0,1002,-5.091098,57.191804,0
Saileag,0,956,-5.281315,57.181264,0
Schiehallion,0,1083,-4.100213,56.666942,0
Seana Bhraigh,0,926,-4.896636,57.847321,0
Sgairneach Mhor,0,991,-4.297792,56.828447,0
Sgiath Chuil,0,920,-4.495653,56.453149,0
Sgor an Lochain Uaine,0,1258,-3.725798,57.058378,0
Sgor Gaibhre,0,955,-4.546498,56.772553,0
Sgor Gaoith,0,1118,-3.810856,57.068561,0
Sgor na h-Ulaidh,0,994,-5.080078,56.619822,0
Sgorr Ruadh,0,962,-5.407766,57.498648,0
Sgurr a'Bhealaich Dheirg,0,1036,-5.252178,57.177834,0
Sgurr a'Chaorachain,0,1053,-5.1893,57.452492,0
Sgurr a'Choire Ghlais,0,1083,-4.902963,57.443947,0
Sgurr a'Ghreadaidh,0,973,-6.23444,57.22774,0
Sgurr a'Mhadaidh,0,918,-6.231944,57.230841,0
Sgurr a'Mhaim,0,1099,-5.003674,56.75592,0
Sgurr a'Mhaoraich,0,1027,-5.330451,57.105572,0
Sgurr Alasdair,0,992,-6.224161,57.206606,0
Sgurr an Doire Leathain,0,1010,-5.28153,57.136861,0
Sgurr an Lochain,0,1004,-5.297527,57.141232,0
Sgurr Ban,0,989,-5.265903,57.718538,0
Sgurr Breac,0,999,-5.091722,57.69205,0
Sgurr Choinnich,0,999.2,-5.207916,57.451026,0
Sgurr Choinnich Mor,0,1094,-4.90396,56.80043,0
Sgurr Dearg-Inaccessible Pinnacle,0,986,-6.234819,57.21327,0
Sgurr Dubh Mor,0,944,-6.211421,57.204894,0
Sgurr Eilde Mor,0,1010,-4.895471,56.750051,0
Sgurr Fhuar-thuill,0,1049,-4.94178,57.44968,0
Sgurr Fhuaran,0,1067,-5.347633,57.196142,0
Sgurr Mhic Choinnich,0,948,-6.224083,57.208965,0
Sgurr Mor,0,1108,-5.016748,57.700134,0
Sgurr Mor,0,1003,-5.354205,57.028437,0
Sgurr na Banachdich,0,965,-6.241655,57.22098,0
